source	destination	size_before
Active/O8.13/AVENUES-O8.13-COLLATED.md	8.14-SF/context/raw-docs/AVENUES-O8.13-COLLATED.md	8142
Active/O8.13/AVENUES-r3-Inventory.md	8.14-SF/context/raw-docs/AVENUES-r3-Inventory.md	20867
Active/O8.13/CAR-M-R2-08-R4-PLAN.md	8.14-SF/context/raw-docs/CAR-M-R2-08-R4-PLAN.md	6601
Active/O8.13/Handoff_O8.12-r3_2026-09-16-CrashRecovery.md	8.14-SF/context/raw-docs/Handoff_O8.12-r3_2026-09-16-CrashRecovery.md	4165
Active/O8.13/Handoff_O8.12-r3_2026-09-16-LiveFix.md	8.14-SF/context/raw-docs/Handoff_O8.12-r3_2026-09-16-LiveFix.md	6465
Active/O8.13/Handoff_O8.12-r3_2026-09-16-QGuard-1024.md	8.14-SF/context/raw-docs/Handoff_O8.12-r3_2026-09-16-QGuard-1024.md	4728
Active/O8.13/Handoff_O8.12-r4_2026-09-16.md	8.14-SF/context/raw-docs/Handoff_O8.12-r4_2026-09-16.md	4757
Active/O8.13/Handoff_O8.12-r4_2026-09-16-final.md	8.14-SF/context/raw-docs/Handoff_O8.12-r4_2026-09-16-final.md	3416
Active/O8.13/IMPLEMENTATION-LOG-r3.md	8.14-SF/context/raw-docs/IMPLEMENTATION-LOG-r3.md	15814
Active/O8.13/PLAN-r3-Resolution.md	8.14-SF/context/raw-docs/PLAN-r3-Resolution.md	26392
Active/O8.13/R4-BUNDLE-ROADMAP.md	8.14-SF/context/raw-docs/R4-BUNDLE-ROADMAP.md	8813
Active/O8.13/BRANCH_TAG_O8.13_2026-09-16.txt	8.14-SF/context/raw-docs/BRANCH_TAG_O8.13_2026-09-16.txt	26
PLAN-H-x-R205.md	8.14-SF/context/raw-docs/PLAN-H-x-R205.md	10505
PLAN-O8.13-r2.md	8.14-SF/context/raw-docs/PLAN-O8.13-r2.md	19362
STRING-LAYER-REVERSAL.md	8.14-SF/context/raw-docs/STRING-LAYER-REVERSAL.md	7376
Active/O8.13/oto/identifiers-dictionary-5k.csv5288.bak	8.14-SF/context/raw-docs/identifiers-dictionary-5k.csv5288.bak	66107
Handoff/CHAT-HISTORY	8.14-SF/CHAT-HISTORY/Agent-Run-history	
Handoff/Agent Chat History.txt.gz	8.14-SF/CHAT-HISTORY/Agent-Chat-History-legacy.txt.gz	427118
Handoff/CHATLOG-S5-STEGO.txt.gz	8.14-SF/CHAT-HISTORY/CHATLOG-S5-STEGO.txt.gz	31235
uploads/lmarena_fully_sanitized_agent_run_1789709083947.txt	8.14-SF/CHAT-HISTORY/decoder-logs/lmarena_fully_sanitized_agent_run_1789709083947.txt	3220822
uploads/lmarena_fully_sanitized_agent_run_1789733839891.txt	8.14-SF/CHAT-HISTORY/decoder-logs/lmarena_fully_sanitized_agent_run_1789733839891.txt	1345467
uploads/lmarena_fully_sanitized_agent_run_1789734700367.txt	8.14-SF/CHAT-HISTORY/decoder-logs/lmarena_fully_sanitized_agent_run_1789734700367.txt	654743
Active/O8.13/Handoff_O8.13_2026-09-16.md	8.14-SF/context/raw-docs/Handoff_O8.13_2026-09-16.md	10460
